8,na
9,na
10,na
11,na
12,na
13,nike pegasus 34
14,na
15,na
16,na
18,na
19,na
0,mizuno wave rider 21
1,na
2,brooks adrenaline gts
3,na
4,brooks levitate
5,na
6,na
7,na
8,na
9,asics gel nimbus 16
10,na
11,na
12,na
13,na
14,na
15,na
16,na
17,na
18,na
19,adidas solar boost 2018
0,adidas boston 6
1,na
2,na
3,na
4,mizuno sonic
5,na
6,na
7,on cloud racer
8,na
9,na
10,na
12,na
13,asics gt-2000 5
15,adidas glide boost
17,na
18,na
19,na
0,na
1,na
2,na
3,na
4,na
5,na
6,na
8,na
9,asics roadhawk
10,brooks ghost
11,na
12,asics nimbus 17 maratona nyc
13,na
15,nike free flyknit 2017
17,na
18,na
19,na
0,nike zoom pegasus 34
2,na
3,na
4,na
5,na
6,na
7,na
8,adidas ultra boost st
9,na
10,na
11,na
12,na
14,na
15,na
16,na
17,asics dynaflyte
18,na
19,na
0,asics nimbus 18
1,na
2,na
3,na
4,na
5,na
6,na
8,na
9,na
10,na
11,na
12,adidas energy
13,na
14,na
15,na
16,adidas ultra boost
17,na
18,na
19,na
0,na
1,na
2,na
3,nike odyssey react
4,na
5,na
6,na
7,na
8,na
9,na
10,na
11,brooks glycerin 15
12,nike lunarepic low flyknit 2
13,na
14,na
15,na
16,na
17,adidas adizero2
18,na
19,na
0,na
1,na
2,na
3,new balance 1080
4,na
5,na
7,na
8,na
9,na
10,na
11,zoot solana
12,na
14,na
15,na
16,na
17,new balance fresh foam
18,na
19,asics nimmbus17
0,na
1,na
2,na
4,na
5,adidas adizero adios 3 blancas
6,na
7,na
8,na
9,hoka one one clifton 4
10,adidas boost
12,na
13,na
14,na
17,na
18,na
19,nike pegasus 35
0,na
1,na
2,new balance boracay
3,na
4,na
5,na
6,na
7,na
8,na
9,nike flex experience rn 6 premium
10,nike pegasus 38
11,na
12,na
13,na
14,na
15,na
16,na
17,na
18,na
0,na
1,na
2,na
3,na
4,na
5,na
6,na
7,na
8,na
10,na
11,na
12,na
13,na
14,nike pegasus 32
15,adidas energy boost
16,na
18,na
19,na
0,na
2,na
3,adidas boston 7
4,na
5,na
6,na
7,na
8,na
9,na
10,adidas ultraboost
11,na
12,na
13,na
14,nike vomero 8
15,na
16,na
17,na
18,na
19,na
0,nike dual fusion x2
1,na
2,na
3,adidas adizero boston 6
4,na
5,na
6,nike vaporfly 4% flyknit
7,na
8,na
9,na
10,na
11,na
12,na
13,na
14,na
15,adidas adizero boston 6
16,na
17,na
18,na
19,na
0,na
1,adidas ultra boost
2,na
3,adidas adizero boston
4,na
5,na
6,na
7,na
8,na
9,na
10,na
11,na
12,asics nimbus-gel 20
13,na
14,na
15,brooks ghost 10
16,na
17,na
18,na
19,na
0,saucony triumph iso 3
1,na
2,na
3,na
4,na
5,na
6,na
7,na
8,na
9,adidas adizero boston 6
10,na
11,na
12,na
13,na
14,na
15,na
16,na
17,nike air zoom pegasus 35
18,nike air zoom pegasus 35
0,na
1,na
2,asics gel cumulus 19
3,new balance 890v6
4,na
5,salomon sonic pro 2
6,na
7,na
8,new balance 860 v7
9,na
10,na
11,na
12,na
13,na
14,na
15,na
16,na
17,na
19,na
